ID,總價
60522,0
136198,0
92696,0
146212,0
95887,0
130004,0
96461,0
15391,0
112545,0
27942,0
68715,0
143043,0
105914,0
85574,0
156885,0
87143,0
121743,0
21282,0
76349,0
150001,0
86089,0
119332,0
2159,0
109154,0
125226,0
111361,0
154239,0
21158,0
141469,0
1269,0
131814,0
101314,0
102465,0
116642,0
22047,0
44645,0
138003,0
59567,0
32879,0
148556,0
123041,0
72405,0
58299,0
139088,0
154695,0
56327,0
147818,0
34715,0
69351,0
18240,0
119165,0
106876,0
48621,0
137420,0
9240,0
145581,0
36981,0
66446,0
48821,0
52642,0
130042,0
9295,0
148421,0
146425,0
69023,0
41521,0
56229,0
1178,0
26943,0
13878,0
31563,0
140280,0
19299,0
7864,0
133578,0
143215,0
38845,0
155950,0
8311,0
76788,0
120895,0
142621,0
90188,0
44005,0
90297,0
112336,0
18614,0
25140,0
88684,0
10635,0
79815,0
45307,0
136598,0
83759,0
118302,0
148030,0
139837,0
37194,0
106318,0
84575,0
21073,0
25679,0
29646,0
60934,0
24648,0
117880,0
119678,0
138054,0
24125,0
87738,0
104972,0
128037,0
66596,0
145292,0
8609,0
4784,0
29076,0
115390,0
18409,0
103762,0
107806,0
128288,0
82645,0
84607,0
15655,0
95295,0
98267,0
8039,0
144311,0
30254,0
5439,0
55643,0
147678,0
70641,0
92402,0
24865,0
60479,0
36728,0
61611,0
119489,0
131434,0
103249,0
89343,0
145380,0
36400,0
55133,0
47847,0
33260,0
109375,0
88857,0
28624,0
121679,0
63518,0
56433,0
41710,0
81629,0
109924,0
141647,0
64813,0
128795,0
76743,0
44567,0
99688,0
94158,0
109681,0
144516,0
16996,0
63752,0
32224,0
143333,0
135318,0
69078,0
26469,0
145170,0
56398,0
35187,0
34760,0
104696,0
10209,0
78847,0
140797,0
115212,0
7495,0
27843,0
119261,0
139152,0
53259,0
139368,0
109492,0
88576,0
155834,0
89081,0
110109,0
116939,0
149779,0
45471,0
155467,0
110002,0
80516,0
95236,0
35260,0
121727,0
20524,0
43232,0
149383,0
9593,0
103359,0
54659,0
27255,0
84717,0
137111,0
18962,0
100280,0
146350,0
76096,0
120038,0
55460,0
15265,0
33492,0
4864,0
101296,0
113546,0
95051,0
128195,0
3435,0
72520,0
23941,0
25526,0
35970,0
140921,0
140848,0
64796,0
24417,0
141509,0
85292,0
58994,0
22924,0
61075,0
103801,0
124001,0
47613,0
118286,0
33686,0
88359,0
23362,0
133939,0
73779,0
34973,0
117264,0
92931,0
125965,0
152423,0
148376,0
60305,0
24883,0
127370,0
86557,0
40374,0
30482,0
146638,0
141833,0
38074,0
78668,0
145002,0
12222,0
22528,0
12837,0
87693,0
90487,0
2622,0
35042,0
153216,0
135441,0
154078,0
117434,0
139770,0
19646,0
149942,0
56713,0
43175,0
67347,0
39031,0
112372,0
6572,0
23054,0
146835,0
59369,0
151708,0
97348,0
57057,0
144840,0
98705,0
87448,0
6597,0
51888,0
84249,0
76150,0
76744,0
6105,0
39184,0
71498,0
104625,0
60357,0
67137,0
8041,0
92613,0
1846,0
105076,0
85701,0
6516,0
30621,0
150061,0
77313,0
85439,0
37300,0
97491,0
104044,0
56909,0
26892,0
47178,0
11613,0
75999,0
4973,0
42251,0
128304,0
101819,0
64946,0
123970,0
144299,0
114365,0
71290,0
37750,0
38708,0
100400,0
130841,0
21277,0
64222,0
44084,0
109431,0
87054,0
131981,0
142982,0
120875,0
114250,0
151672,0
82236,0
93738,0
111034,0
137546,0
73810,0
155137,0
47885,0
156862,0
14021,0
34559,0
41258,0
4806,0
148114,0
9840,0
18518,0
56696,0
43006,0
69116,0
132735,0
114219,0
14827,0
71495,0
90669,0
65416,0
78466,0
92628,0
103782,0
148268,0
152169,0
127481,0
98770,0
12606,0
20631,0
27118,0
71899,0
22272,0
115978,0
131731,0
24712,0
95806,0
140899,0
149716,0
32950,0
26743,0
83934,0
28263,0
39575,0
133214,0
137317,0
64094,0
23219,0
127191,0
26301,0
92155,0
79650,0
145207,0
106916,0
5924,0
30652,0
73985,0
74885,0
32446,0
12056,0
52241,0
119846,0
88068,0
50937,0
50550,0
28756,0
31597,0
75465,0
89459,0
132286,0
119485,0
1240,0
58920,0
94926,0
91894,0
136889,0
84789,0
104005,0
7956,0
23486,0
53558,0
155130,0
151605,0
127099,0
76066,0
126049,0
81428,0
17432,0
103983,0
132235,0
111309,0
28209,0
69776,0
64594,0
136051,0
70729,0
108003,0
59829,0
83945,0
148410,0
13710,0
81651,0
100944,0
19828,0
64598,0
80359,0
9263,0
79419,0
88271,0
135011,0
62065,0
121568,0
26702,0
107364,0
134427,0
12891,0
51091,0
138906,0
8269,0
101877,0
132864,0
145166,0
105034,0
140946,0
72962,0
3017,0
132363,0
1282,0
14611,0
64364,0
136710,0
32069,0
99192,0
57494,0
73443,0
29636,0
148755,0
147212,0
14150,0
114626,0
5395,0
86566,0
122161,0
89644,0
111787,0
24465,0
39489,0
116388,0
60780,0
46931,0
26195,0
145262,0
97201,0
63281,0
137319,0
92991,0
112268,0
43434,0
8063,0
102140,0
134448,0
87330,0
88391,0
154979,0
105770,0
65114,0
11305,0
50125,0
49205,0
80650,0
94072,0
125509,0
135564,0
56114,0
42190,0
79718,0
56337,0
140394,0
103767,0
5126,0
117237,0
5780,0
40025,0
137664,0
98622,0
31627,0
70574,0
138308,0
2274,0
141506,0
111214,0
154518,0
100398,0
8869,0
129602,0
83814,0
44237,0
33148,0
90302,0
32167,0
103781,0
100989,0
33863,0
150153,0
71920,0
126751,0
42537,0
105103,0
73986,0
105838,0
19618,0
106484,0
2520,0
140466,0
81333,0
25490,0
127924,0
39863,0
92814,0
28652,0
102535,0
133803,0
62228,0
6536,0
59920,0
111330,0
148843,0
50652,0
42672,0
151700,0
114258,0
77201,0
24354,0
73601,0
116568,0
31283,0
103714,0
77474,0
62337,0
5278,0
126394,0
52602,0
16502,0
57732,0
62350,0
59510,0
62701,0
55934,0
62278,0
